Word	Suffix
daily	ly
reaction	tion
connection	tion
effectively	ly
wing	ing
shipping	ing
regularly	ly
teaching	ing
mention	tion
housing	ing
understanding	ing
obviously	ly
placing	ing
evolution	tion
relatively	ly
july	ly
sitting	ing
entirely	ly
typically	ly
sending	ing
